player,runs,mins,bf,4s,6s,sr,inns,match_type,opposition,ground,start_date
player,runs,mins,bf,4s,6s,sr,inns,match_type,opposition,ground,start_date,
R Dravid,4,8,5,1,0,80.00,4,,Test v Australia,Chennai,18 Mar 2001,
SS Dighe,22*,73,48,3,0,45.83,4,,Test v Australia,Chennai,18 Mar 2001,
SV Bahutule,0,3,3,0,0,0.00,4,,Test v Australia,Chennai,18 Mar 2001,
Z Khan,0,31,14,0,0,0.00,4,,Test v Australia,Chennai,18 Mar 2001,
Harbhajan Singh,3*,12,5,0,0,60.00,4,,Test v Australia,Chennai,18 Mar 2001,
NM Kulkarni,DNB,-,-,-,-,-,4,,Test v Australia,Chennai,18 Mar 2001,
SC Ganguly,6,24,27,0,0,22.22,1,,ODI v Australia,Bengaluru,25 Mar 2001,
SR Tendulkar,35,47,26,6,1,134.61,1,,ODI v Australia,Bengaluru,25 Mar 2001,
VVS Laxman,45,48,34,7,1,132.35,1,,ODI v Australia,Bengaluru,25 Mar 2001,
R Dravid,80,144,84,3,1,95.23,1,,ODI v Australia,Bengaluru,25 Mar 2001,
HK Badani,11,25,18,0,0,61.11,1,,ODI v Australia,Bengaluru,25 Mar 2001,
V Sehwag,58,62,54,8,0,107.40,1,,ODI v Australia,Bengaluru,25 Mar 2001,
V Dahiya,51,53,39,6,1,130.76,1,,ODI v Australia,Bengaluru,25 Mar 2001,
AB Agarkar,13,17,15,0,0,86.66,1,,ODI v Australia,Bengaluru,25 Mar 2001,
Harbhajan Singh,0,2,1,0,0,0.00,1,,ODI v Australia,Bengaluru,25 Mar 2001,
Z Khan,1*,7,2,0,0,50.00,1,,ODI v Australia,Bengaluru,25 Mar 2001,
J Srinath,2,5,5,0,0,40.00,1,,ODI v Australia,Bengaluru,25 Mar 2001,
SC Ganguly,4,29,15,0,0,26.66,1,,ODI v Australia,Pune,28 Mar 2001,
SR Tendulkar,32,35,29,6,1,110.34,1,,ODI v Australia,Pune,28 Mar 2001,
VVS Laxman,51,112,86,3,0,59.30,1,,ODI v Australia,Pune,28 Mar 2001,
R Dravid,13,27,23,2,0,56.52,1,,ODI v Australia,Pune,28 Mar 2001,
HK Badani,100,142,98,10,2,102.04,1,,ODI v Australia,Pune,28 Mar 2001,
D Mongia,2,5,6,0,0,33.33,1,,ODI v Australia,Pune,28 Mar 2001,
V Dahiya,2,9,7,0,0,28.57,1,,ODI v Australia,Pune,28 Mar 2001,
SB Joshi,19,33,23,2,0,82.60,1,,ODI v Australia,Pune,28 Mar 2001,
Z Khan,15,15,10,2,0,150.00,1,,ODI v Australia,Pune,28 Mar 2001,
Harbhajan Singh,1*,5,1,0,0,100.00,1,,ODI v Australia,Pune,28 Mar 2001,
J Srinath,3*,2,2,0,0,150.00,1,,ODI v Australia,Pune,28 Mar 2001,
R Dravid,15,30,34,3,0,44.11,1,,ODI v Australia,Indore,31 Mar 2001,
SR Tendulkar,139,197,125,19,0,111.20,1,,ODI v Australia,Indore,31 Mar 2001,
VVS Laxman,83,123,88,6,0,94.31,1,,ODI v Australia,Indore,31 Mar 2001,
SC Ganguly,0,2,3,0,0,0.00,1,,ODI v Australia,Indore,31 Mar 2001,
HK Badani,23,29,25,1,1,92.00,1,,ODI v Australia,Indore,31 Mar 2001,
D Mongia,4,19,5,0,0,80.00,1,,ODI v Australia,Indore,31 Mar 2001,
AB Agarkar,1,5,5,0,0,20.00,1,,ODI v Australia,Indore,31 Mar 2001,
V Dahiya,0,3,4,0,0,0.00,1,,ODI v Australia,Indore,31 Mar 2001,
Z Khan,7*,12,7,0,0,100.00,1,,ODI v Australia,Indore,31 Mar 2001,
Harbhajan Singh,9*,8,8,1,0,112.50,1,,ODI v Australia,Indore,31 Mar 2001,
J Srinath,DNB,-,-,-,-,-,1,,ODI v Australia,Indore,31 Mar 2001,
SC Ganguly,9,42,36,1,0,25.00,2,,ODI v Australia,Visakhapatnam,3 Apr 2001,
SR Tendulkar,62,68,38,11,0,163.15,2,,ODI v Australia,Visakhapatnam,3 Apr 2001,
VVS Laxman,11,33,25,1,0,44.00,2,,ODI v Australia,Visakhapatnam,3 Apr 2001,
R Dravid,7,23,10,0,0,70.00,2,,ODI v Australia,Visakhapatnam,3 Apr 2001,
HK Badani,25,48,35,2,0,71.42,2,,ODI v Australia,Visakhapatnam,3 Apr 2001,
RR Singh,16,42,32,0,0,50.00,2,,ODI v Australia,Visakhapatnam,3 Apr 2001,
V Dahiya,7,17,15,1,0,46.66,2,,ODI v Australia,Visakhapatnam,3 Apr 2001,
AB Agarkar,9,20,16,0,0,56.25,2,,ODI v Australia,Visakhapatnam,3 Apr 2001,
Z Khan,29,40,28,3,1,103.57,2,,ODI v Australia,Visakhapatnam,3 Apr 2001,
Harbhajan Singh,46,37,34,3,3,135.29,2,,ODI v Australia,Visakhapatnam,3 Apr 2001,
J Srinath,7*,10,4,1,0,175.00,2,,ODI v Australia,Visakhapatnam,3 Apr 2001,
SC Ganguly,74,106,83,9,2,89.15,1,,ODI v Australia,Margao,6 Apr 2001,
SR Tendulkar,12,17,15,2,0,80.00,1,,ODI v Australia,Margao,6 Apr 2001,
VVS Laxman,101,170,107,10,0,94.39,1,,ODI v Australia,Margao,6 Apr 2001,
R Dravid,31,65,45,1,0,68.88,1,,ODI v Australia,Margao,6 Apr 2001,
HK Badani,7,13,14,1,0,50.00,1,,ODI v Australia,Margao,6 Apr 2001,
Yuvraj Singh,19,22,21,2,0,90.47,1,,ODI v Australia,Margao,6 Apr 2001,
V Dahiya,15*,23,15,1,0,100.00,1,,ODI v Australia,Margao,6 Apr 2001,
Z Khan,0*,1,0,0,0,-,1,,ODI v Australia,Margao,6 Apr 2001,
Harbhajan Singh,DNB,-,-,-,-,-,1,,ODI v Australia,Margao,6 Apr 2001,
AB Agarkar,DNB,-,-,-,-,-,1,,ODI v Australia,Margao,6 Apr 2001,
J Srinath,DNB,-,-,-,-,-,1,,ODI v Australia,Margao,6 Apr 2001,
SS Das,30,120,73,3,0,41.09,2,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
S Ramesh,2,7,4,0,0,50.00,2,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
VVS Laxman,28,64,38,6,0,73.68,2,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
SR Tendulkar,74,179,128,12,0,57.81,2,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
J Srinath,1,15,16,0,0,6.25,2,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
SC Ganguly,5,35,20,1,0,25.00,2,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
R Dravid,44,118,67,7,0,65.67,2,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
SS Dighe,47,119,95,6,0,49.47,2,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
Harbhajan Singh,66,123,71,10,1,92.95,2,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
Z Khan,0,2,3,0,0,0.00,2,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
A Nehra,9*,39,31,1,0,29.03,2,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
SS Das,82*,207,183,10,0,44.80,4,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
S Ramesh,17,98,61,1,0,27.86,4,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
VVS Laxman,38,66,35,5,1,108.57,4,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
SR Tendulkar,36*,41,49,4,0,73.46,4,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
A Nehra,DNB,-,-,-,-,-,4,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
Z Khan,DNB,-,-,-,-,-,4,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
SS Dighe,DNB,-,-,-,-,-,4,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
Harbhajan Singh,DNB,-,-,-,-,-,4,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
R Dravid,DNB,-,-,-,-,-,4,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
SC Ganguly,DNB,-,-,-,-,-,4,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
J Srinath,DNB,-,-,-,-,-,4,,Test v Zimbabwe,Bulawayo,7 Jun 2001,
SS Das,57,155,121,8,0,47.10,1,,Test v Zimbabwe,Harare,15 Jun 2001,
HK Badani,2,12,6,0,0,33.33,1,,Test v Zimbabwe,Harare,15 Jun 2001,
VVS Laxman,15,39,16,3,0,93.75,1,,Test v Zimbabwe,Harare,15 Jun 2001,
SR Tendulkar,20,78,46,2,1,43.47,1,,Test v Zimbabwe,Harare,15 Jun 2001,
SC Ganguly,9,51,32,1,0,28.12,1,,Test v Zimbabwe,Harare,15 Jun 2001,
R Dravid,68*,173,115,8,0,59.13,1,,Test v Zimbabwe,Harare,15 Jun 2001,
SS Dighe,20,56,41,4,0,48.78,1,,Test v Zimbabwe,Harare,15 Jun 2001,
AB Agarkar,6,9,12,0,0,50.00,1,,Test v Zimbabwe,Harare,15 Jun 2001,
Harbhajan Singh,31,53,42,6,0,73.80,1,,Test v Zimbabwe,Harare,15 Jun 2001,
J Srinath,0,19,14,0,0,0.00,1,,Test v Zimbabwe,Harare,15 Jun 2001,
A Nehra,0,4,2,0,0,0.00,1,,Test v Zimbabwe,Harare,15 Jun 2001,
SS Das,70,358,245,8,0,28.57,3,,Test v Zimbabwe,Harare,15 Jun 2001,
SS Dighe,4,15,9,1,0,44.44,3,,Test v Zimbabwe,Harare,15 Jun 2001,
VVS Laxman,20,42,27,4,0,74.07,3,,Test v Zimbabwe,Harare,15 Jun 2001,
SR Tendulkar,69,185,135,9,0,51.11,3,,Test v Zimbabwe,Harare,15 Jun 2001,
R Dravid,26,100,79,3,0,32.91,3,,Test v Zimbabwe,Harare,15 Jun 2001,
SC Ganguly,0,7,4,0,0,0.00,3,,Test v Zimbabwe,Harare,15 Jun 2001,
HK Badani,16*,83,50,1,1,32.00,3,,Test v Zimbabwe,Harare,15 Jun 2001,
AB Agarkar,0,6,2,0,0,0.00,3,,Test v Zimbabwe,Harare,15 Jun 2001,
Harbhajan Singh,5,6,5,1,0,100.00,3,,Test v Zimbabwe,Harare,15 Jun 2001,
J Srinath,3,35,18,0,0,16.66,3,,Test v Zimbabwe,Harare,15 Jun 2001,
A Nehra,0,25,19,0,0,0.00,3,,Test v Zimbabwe,Harare,15 Jun 2001,
SC Ganguly,2,2,5,0,0,40.00,2,,ODI v Zimbabwe,Harare,24 Jun 2001,
SR Tendulkar,70*,129,70,13,0,100.00,2,,ODI v Zimbabwe,Harare,24 Jun 2001,
HK Badani,52*,125,85,5,1,61.17,2,,ODI v Zimbabwe,Harare,24 Jun 2001,
A Nehra,DNB,-,-,-,-,-,2,,ODI v Zimbabwe,Harare,24 Jun 2001,
V Sehwag,DNB,-,-,-,-,-,2,,ODI v Zimbabwe,Harare,24 Jun 2001,
Z Khan,DNB,-,-,-,-,-,2,,ODI v Zimbabwe,Harare,24 Jun 2001,
SS Dighe,DNB,-,-,-,-,-,2,,ODI v Zimbabwe,Harare,24 Jun 2001,
Harbhajan Singh,DNB,-,-,-,-,-,2,,ODI v Zimbabwe,Harare,24 Jun 2001,
AB Agarkar,DNB,-,-,-,-,-,2,,ODI v Zimbabwe,Harare,24 Jun 2001,
VVS Laxman,DNB,-,-,-,-,-,2,,ODI v Zimbabwe,Harare,24 Jun 2001,
R Dravid,DNB,-,-,-,-,-,2,,ODI v Zimbabwe,Harare,24 Jun 2001,
SC Ganguly,85,174,125,8,1,68.00,2,,ODI v Zimbabwe,Bulawayo,27 Jun 2001,
SR Tendulkar,9,42,27,0,0,33.33,2,,ODI v Zimbabwe,Bulawayo,27 Jun 2001,
D Mongia,37,72,49,5,0,75.51,2,,ODI v Zimbabwe,Bulawayo,27 Jun 2001,
R Dravid,72*,103,64,7,0,112.50,2,,ODI v Zimbabwe,Bulawayo,27 Jun 2001,
HK Badani,0,2,1,0,0,0.00,2,,ODI v Zimbabwe,Bulawayo,27 Jun 2001,
V Sehwag,2,7,7,0,0,28.57,2,,ODI v Zimbabwe,Bulawayo,27 Jun 2001,
SS Dighe,9,14,13,1,0,69.23,2,,ODI v Zimbabwe,Bulawayo,27 Jun 2001,
AB Agarkar,13*,16,12,2,0,108.33,2,,ODI v Zimbabwe,Bulawayo,27 Jun 2001,
A Nehra,DNB,-,-,-,-,-,2,,ODI v Zimbabwe,Bulawayo,27 Jun 2001,
Z Khan,DNB,-,-,-,-,-,2,,ODI v Zimbabwe,Bulawayo,27 Jun 2001,
Harbhajan Singh,DNB,-,-,-,-,-,2,,ODI v Zimbabwe,Bulawayo,27 Jun 2001,
SC Ganguly,20,60,51,3,0,39.21,2,,ODI v West Indies,Bulawayo,30 Jun 2001,
SR Tendulkar,81*,191,110,8,0,73.63,2,,ODI v West Indies,Bulawayo,30 Jun 2001,
D Mongia,8,31,23,1,0,34.78,2,,ODI v West Indies,Bulawayo,30 Jun 2001,
R Dravid,4,5,5,0,0,80.00,2,,ODI v West Indies,Bulawayo,30 Jun 2001,
HK Badani,27,79,59,2,0,45.76,2,,ODI v West Indies,Bulawayo,30 Jun 2001,
V Sehwag,11*,19,16,1,0,68.75,2,,ODI v West Indies,Bulawayo,30 Jun 2001,
RS Sodhi,DNB,-,-,-,-,-,2,,ODI v West Indies,Bulawayo,30 Jun 2001,
Harvinder Singh,DNB,-,-,-,-,-,2,,ODI v West Indies,Bulawayo,30 Jun 2001,
DS Mohanty,DNB,-,-,-,-,-,2,,ODI v West Indies,Bulawayo,30 Jun 2001,
Z Khan,DNB,-,-,-,-,-,2,,ODI v West Indies,Bulawayo,30 Jun 2001,
SS Dighe,DNB,-,-,-,-,-,2,,ODI v West Indies,Bulawayo,30 Jun 2001,
SC Ganguly,62,87,87,10,1,71.26,2,,ODI v West Indies,Harare,4 Jul 2001,
SR Tendulkar,122*,210,131,12,1,93.12,2,,ODI v West Indies,Harare,4 Jul 2001,

V Sehwag,4,9,9,1,0,44.44,2,,ODI v West Indies,Harare,4 Jul 2001,
HK Badani,4,26,24,0,0,16.66,2,,ODI v West Indies,Harare,4 Jul 2001,
R Dravid,15,28,18,0,0,83.33,2,,ODI v West Indies,Harare,4 Jul 2001,
RS Sodhi,16*,19,21,2,0,76.19,2,,ODI v West Indies,Harare,4 Jul 2001,
A Nehra,DNB,-,-,-,-,-,2,,ODI v West Indies,Harare,4 Jul 2001,
SS Dighe,DNB,-,-,-,-,-,2,,ODI v West Indies,Harare,4 Jul 2001,
Harbhajan Singh,DNB,-,-,-,-,-,2,,ODI v West Indies,Harare,4 Jul 2001,
Harvinder Singh,DNB,-,-,-,-,-,2,,ODI v West Indies,Harare,4 Jul 2001,
DS Mohanty,DNB,-,-,-,-,-,2,,ODI v West Indies,Harare,4 Jul 2001,
SC Ganguly,28,38,32,3,1,87.50,2,,ODI v West Indies,Harare,7 Jul 2001,
SR Tendulkar,0,10,4,0,0,0.00,2,,ODI v West Indies,Harare,7 Jul 2001,
VVS Laxman,18,46,22,3,0,81.81,2,,ODI v West Indies,Harare,7 Jul 2001,
R Dravid,30,43,32,6,0,93.75,2,,ODI v West Indies,Harare,7 Jul 2001,
V Sehwag,2,12,7,0,0,28.57,2,,ODI v West Indies,Harare,7 Jul 2001,
RS Sodhi,67,89,75,3,3,89.33,2,,ODI v West Indies,Harare,7 Jul 2001,
SS Dighe,94*,119,96,7,2,97.91,2,,ODI v West Indies,Harare,7 Jul 2001,
Harbhajan Singh,12,13,11,2,0,109.09,2,,ODI v West Indies,Harare,7 Jul 2001,
Z Khan,0,1,1,0,0,0.00,2,,ODI v West Indies,Harare,7 Jul 2001,
DS Mohanty,18*,26,20,1,0,90.00,2,,ODI v West Indies,Harare,7 Jul 2001,
A Nehra,DNB,-,-,-,-,-,2,,ODI v West Indies,Harare,7 Jul 2001,
Yuvraj Singh,6,16,15,1,0,40.00,2,,ODI v New Zealand,Colombo (RPS),20 Jul 2001,
SC Ganguly,5,27,17,1,0,29.41,2,,ODI v New Zealand,Colombo (RPS),20 Jul 2001,
VVS Laxman,60,148,103,5,0,58.25,2,,ODI v New Zealand,Colombo (RPS),20 Jul 2001,
R Dravid,15,48,36,1,0,41.66,2,,ODI v New Zealand,Colombo (RPS),20 Jul 2001,
HK Badani,2,17,7,0,0,28.57,2,,ODI v New Zealand,Colombo (RPS),20 Jul 2001,
V Sehwag,0,2,3,0,0,0.00,2,,ODI v New Zealand,Colombo (RPS),20 Jul 2001,
RS Sodhi,18,36,25,0,1,72.00,2,,ODI v New Zealand,Colombo (RPS),20 Jul 2001,
SS Dighe,9,26,32,0,0,28.12,2,,ODI v New Zealand,Colombo (RPS),20 Jul 2001,
Harbhajan Singh,0,9,2,0,0,0.00,2,,ODI v New Zealand,Colombo (RPS),20 Jul 2001,
Z Khan,2,8,6,0,0,33.33,2,,ODI v New Zealand,Colombo (RPS),20 Jul 2001,
A Nehra,2*,3,2,0,0,100.00,2,,ODI v New Zealand,Colombo (RPS),20 Jul 2001,
AR Khurasiya,12,32,23,2,0,52.17,2,,ODI v Sri Lanka,Colombo (RPS),22 Jul 2001,
Yuvraj Singh,12,25,17,2,0,70.58,2,,ODI v Sri Lanka,Colombo (RPS),22 Jul 2001,
VVS Laxman,17,59,29,2,0,58.62,2,,ODI v Sri Lanka,Colombo (RPS),22 Jul 2001,
Harbhajan Singh,1,5,6,0,0,16.66,2,,ODI v Sri Lanka,Colombo (RPS),22 Jul 2001,
SC Ganguly,69,122,105,7,1,65.71,2,,ODI v Sri Lanka,Colombo (RPS),22 Jul 2001,
R Dravid,49*,126,81,0,0,60.49,2,,ODI v Sri Lanka,Colombo (RPS),22 Jul 2001,
RS Sodhi,19,18,20,1,0,95.00,2,,ODI v Sri Lanka,Colombo (RPS),22 Jul 2001,
V Sehwag,12,17,14,0,0,85.71,2,,ODI v Sri Lanka,Colombo (RPS),22 Jul 2001,
SS Dighe,11*,13,11,0,0,100.00,2,,ODI v Sri Lanka,Colombo (RPS),22 Jul 2001,
Z Khan,DNB,-,-,-,-,-,2,,ODI v Sri Lanka,Colombo (RPS),22 Jul 2001,
DS Mohanty,DNB,-,-,-,-,-,2,,ODI v Sri Lanka,Colombo (RPS),22 Jul 2001,
SC Ganguly,4,9,8,1,0,50.00,2,,ODI v New Zealand,Colombo (RPS),26 Jul 2001,
V Sehwag,33,59,54,3,0,61.11,2,,ODI v New Zealand,Colombo (RPS),26 Jul 2001,
VVS Laxman,1,4,2,0,0,50.00,2,,ODI v New Zealand,Colombo (RPS),26 Jul 2001,
R Dravid,27,111,57,1,0,47.36,2,,ODI v New Zealand,Colombo (RPS),26 Jul 2001,
HK Badani,6,10,10,1,0,60.00,2,,ODI v New Zealand,Colombo (RPS),26 Jul 2001,
Yuvraj Singh,28,50,51,3,0,54.90,2,,ODI v New Zealand,Colombo (RPS),26 Jul 2001,
RS Sodhi,9,25,13,1,0,69.23,2,,ODI v New Zealand,Colombo (RPS),26 Jul 2001,
SS Dighe,0,3,3,0,0,0.00,2,,ODI v New Zealand,Colombo (RPS),26 Jul 2001,
Harbhajan Singh,6,18,16,0,0,37.50,2,,ODI v New Zealand,Colombo (RPS),26 Jul 2001,
Z Khan,11*,25,14,1,0,78.57,2,,ODI v New Zealand,Colombo (RPS),26 Jul 2001,
A Nehra,2,13,14,0,0,14.28,2,,ODI v New Zealand,Colombo (RPS),26 Jul 2001,
AR Khurasiya,0,1,2,0,0,0.00,2,,ODI v Sri Lanka,Colombo (RPS),28 Jul 2001,
V Sehwag,27,60,41,5,0,65.85,2,,ODI v Sri Lanka,Colombo (RPS),28 Jul 2001,
VVS Laxman,87*,176,127,10,0,68.50,2,,ODI v Sri Lanka,Colombo (RPS),28 Jul 2001,
R Dravid,43,86,79,3,0,54.43,2,,ODI v Sri Lanka,Colombo (RPS),28 Jul 2001,
HK Badani,11*,30,27,0,0,40.74,2,,ODI v Sri Lanka,Colombo (RPS),28 Jul 2001,
A Nehra,DNB,-,-,-,-,-,2,,ODI v Sri Lanka,Colombo (RPS),28 Jul 2001,
Yuvraj Singh,DNB,-,-,-,-,-,2,,ODI v Sri Lanka,Colombo (RPS),28 Jul 2001,
Z Khan,DNB,-,-,-,-,-,2,,ODI v Sri Lanka,Colombo (RPS),28 Jul 2001,
SS Dighe,DNB,-,-,-,-,-,2,,ODI v Sri Lanka,Colombo (RPS),28 Jul 2001,
Harbhajan Singh,DNB,-,-,-,-,-,2,,ODI v Sri Lanka,Colombo (RPS),28 Jul 2001,
RS Sodhi,DNB,-,-,-,-,-,2,,ODI v Sri Lanka,Colombo (RPS),28 Jul 2001,
V Sehwag,0,1,1,0,0,0.00,1,,ODI v Sri Lanka,Colombo (SSC),1 Aug 2001,
SC Ganguly,0,26,16,0,0,0.00,1,,ODI v Sri Lanka,Colombo (SSC),1 Aug 2001,
VVS Laxman,10,47,29,1,0,34.48,1,,ODI v Sri Lanka,Colombo (SSC),1 Aug 2001,
R Dravid,47,122,88,3,0,53.40,1,,ODI v Sri Lanka,Colombo (SSC),1 Aug 2001,
HK Badani,2,19,11,0,0,18.18,1,,ODI v Sri Lanka,Colombo (SSC),1 Aug 2001,
Yuvraj Singh,98*,143,110,6,1,89.09,1,,ODI v Sri Lanka,Colombo (SSC),1 Aug 2001,
RS Sodhi,30,37,37,1,0,81.08,1,,ODI v Sri Lanka,Colombo (SSC),1 Aug 2001,
SS Dighe,3,4,3,0,0,100.00,1,,ODI v Sri Lanka,Colombo (SSC),1 Aug 2001,
Harbhajan Singh,4,5,3,1,0,133.33,1,,ODI v Sri Lanka,Colombo (SSC),1 Aug 2001,
Z Khan,3*,16,8,0,0,37.50,1,,ODI v Sri Lanka,Colombo (SSC),1 Aug 2001,
A Nehra,DNB,-,-,-,-,-,1,,ODI v Sri Lanka,Colombo (SSC),1 Aug 2001,
SC Ganguly,64,134,103,7,0,62.13,2,,ODI v New Zealand,Colombo (SSC),2 Aug 2001,
